Lambda[um],T
0.1,0.0
0.15000000000000002,0.0
0.20000000000000004,0.0
0.25000000000000006,0.0
0.30000000000000004,0.0
0.3500000000000001,0.0
0.40000000000000013,0.0
0.45000000000000007,0.0
0.5000000000000001,0.0
0.5500000000000002,0.0
0.6000000000000002,0.0
0.6500000000000001,0.0
0.7000000000000002,0.0
0.7500000000000002,0.0
0.8000000000000002,0.0
0.8500000000000002,0.0
0.9000000000000002,0.0
0.9500000000000003,0.0
1.0000000000000004,0.0
1.0500000000000003,0.0
1.1000000000000005,0.0
1.1500000000000004,0.0
1.2000000000000004,0.0
1.2500000000000004,0.0
1.3000000000000005,0.0
1.3500000000000005,0.0
1.4000000000000006,0.0
1.4500000000000006,0.0
1.5000000000000004,0.001
1.5500000000000005,0.0007
1.6000000000000005,0.001
1.6500000000000006,0.0006
1.7000000000000006,0.0006
1.7500000000000007,0.0003
1.8000000000000007,0.0002
1.8500000000000008,0.0002
1.9000000000000008,0.0004
1.9500000000000006,0.0004
2.0000000000000004,0.0004
2.0500000000000007,0.0002
2.100000000000001,0.0004
2.150000000000001,0.0002
2.2000000000000006,0.0002
2.250000000000001,0.0001
2.3000000000000007,0.0002
2.350000000000001,0.0002
2.400000000000001,0.0001
2.450000000000001,0.0001
2.500000000000001,0.0002
2.5500000000000007,0.0001
2.600000000000001,0.0001
2.650000000000001,0.0002
2.700000000000001,0.0003
2.750000000000001,0.0002
2.800000000000001,0.0001
2.850000000000001,0.0002
2.900000000000001,0.0001
2.950000000000001,0.0001
3.000000000000001,0.0001
3.050000000000001,0.0001
3.100000000000001,0.0003
3.1500000000000012,0.0002
3.200000000000001,0.0002
3.2500000000000013,0.0001
3.300000000000001,0.0001
3.350000000000001,0.0001
3.4000000000000012,0.0001
3.450000000000001,0.0
3.5000000000000013,0.0002
3.550000000000001,0.0001
3.6000000000000014,0.0001
3.6500000000000012,0.0001
3.7000000000000015,0.0001
3.7500000000000013,0.0003
3.800000000000001,0.0
3.8500000000000014,0.0002
3.9000000000000012,0.0002
3.9500000000000015,0.0004
4.000000000000001,0.0012
4.050000000000002,0.0016
4.100000000000001,0.0016
4.150000000000001,0.0016
4.200000000000001,0.0024
4.250000000000001,0.0038
4.300000000000001,0.0035
4.350000000000001,0.0019
4.400000000000001,0.0016
4.450000000000001,0.0012
4.500000000000001,0.0015
4.550000000000001,0.0014
4.600000000000001,0.0014
4.650000000000001,0.0012
4.700000000000001,0.0012
4.750000000000001,0.0009
4.800000000000002,0.0015
4.850000000000001,0.0012
4.900000000000001,0.0014
4.950000000000001,0.001
5.000000000000001,0.0009
5.050000000000002,0.0011
5.100000000000001,0.0011
5.150000000000001,0.0013
5.200000000000001,0.0011
5.250000000000002,0.001
5.300000000000002,0.0009
5.350000000000001,0.0011
5.400000000000001,0.001
5.450000000000001,0.0007
5.500000000000002,0.0009
5.550000000000002,0.0008
5.600000000000001,0.001
5.650000000000001,0.0009
5.700000000000001,0.001
5.750000000000002,0.0009
5.800000000000002,0.0009
5.850000000000001,0.0012
5.900000000000001,0.001
5.950000000000002,0.0009
6.000000000000002,0.0007
6.050000000000002,0.0011
6.100000000000001,0.0009
6.150000000000001,0.0008
6.200000000000002,0.0007
6.250000000000002,0.0007
6.300000000000002,0.0008
6.350000000000001,0.0009
6.400000000000002,0.001
6.450000000000002,0.001
6.500000000000002,0.0011
6.550000000000002,0.0008
6.600000000000001,0.0008
6.650000000000002,0.001
6.700000000000002,0.0016
6.750000000000002,0.001
6.800000000000002,0.0011
6.850000000000002,0.0015
6.900000000000002,0.0009
6.950000000000002,0.0007
7.000000000000002,0.0001
7.050000000000002,0.0001
7.100000000000002,0.0004
7.150000000000002,0.0005
7.200000000000002,0.0004
7.250000000000002,0.0008
7.3000000000000025,0.0009
7.350000000000002,0.001
7.400000000000002,0.0013
7.450000000000002,0.0018
7.500000000000002,0.0026
7.5500000000000025,0.0048
7.600000000000002,0.0078
7.650000000000002,0.0138
7.700000000000002,0.0258
7.750000000000002,0.0456
